symptom,vas
잇몸이 붓고 열이 나서 음식을 먹기 힘들어요.,7
입안이 너무 아파서 음식을 먹을 수 없어요.,7
이가 너무 아파서 음식을 먹기 힘들어요.,7
잇몸이 너무 아파서 음식을 먹기 힘들어요.,7
치아가 너무 아파서 음식을 씹기 힘들어요.,7
이가 쿡쿡 쑤셔서 잠을 잘 수 없어요.,8
이가 아파서 아무것도 할 수 없어요.,8
치아가 너무 아파서 견딜 수 없어요.,8
이가 너무 아파서 집중할 수 없어요.,8
잇몸이 너무 아파서 양치질을 할 수 없어요.,8
이가 너무 아파서 잠을 잘 수 없어요.,8
치아가 너무 아파서 일을 할 수 없어요.,8
이가 너무 아파서 일상생활이 어려워요.,8
이가 너무 아파서 공부를 할 수 없어요.,8
치아가 너무 아파서 잠을 못 자겠어요.,8
"치아가 매우 아프고, 그 통증이 계속 지속돼요.",9
이가 너무 아파서 잠도 잘 수 없어요.,9
이가 너무 아파서 견딜 수가 없어요.,9
치아 통증이 너무 심해서 일상생활이 어려워요.,9
치아 통증이 너무 심해서 잠을 잘 수 없어요.,9
이가 너무 아파서 아무것도 할 수 없어요.,9
이가 너무 아파서 일을 할 수 없어요.,9
치아가 너무 아파서 견딜 수 없어요.,9
치아 통증이 너무 심해서 견딜 수 없어요.,9
치아 통증이 너무 심해서 잠을 잘 수 없어요.,9
치아 통증이 너무 심해서 아무것도 할 수 없어요.,10
치아 통증이 너무 심해서 견딜 수가 없어요.,10
이가 너무 아파서 견딜 수 없어요.,10
치아 통증이 너무 심해서 일상생활이 불가능해요.,10
이가 너무 아파서 잠을 잘 수 없어요.,10
이가 너무 아파서 일할 수 없어요.,10
치아 통증이 너무 심해서 견딜 수 없어요.,10
치아가 너무 아파서 아무것도 할 수 없어요.,10
치아 통증이 너무 심해서 집중할 수 없어요.,10
치아 통증이 너무 심해서 밤에 잠을 잘 수 없어요.,10
이가 너무 아파서 음식을 삼킬 수 없어요.,10
치아가 너무 아파서 고통스러워요.,10
이가 너무 아파서 잠도 잘 수 없어요.,10
잇몸이 너무 아파서 음식을 먹을 수 없어요.,10
치아가 너무 아파서 일을 할 수 없어요.,10
이가 너무 아파서 견딜 수 없어요.,10
치아 통증이 너무 심해서 잠을 잘 수 없어요.,10
이가 너무 아파서 아무것도 할 수 없어요.,10
잇몸이 너무 아파서 음식을 씹을 수 없어요.,10
치아가 너무 아파서 아무것도 할 수 없어요.,10
입안이 살짝 불편하지만 통증은 없어요.,1
잇몸이 살짝 붓지만 통증은 없어요.,1
치아가 살짝 불편하지만 통증은 없어요.,1
입안이 살짝 따끔거리지만 통증은 없어요.,1
이가 살짝 민감하지만 통증은 없어요.,1
잇몸이 살짝 신경 쓰이지만 통증은 없어요.,1
치아가 살짝 시리지만 통증은 없어요.,1
입안이 살짝 불편하지만 괜찮아요.,1
잇몸이 살짝 따끔거리지만 괜찮아요.,1
치아가 살짝 신경 쓰이지만 괜찮아요.,1
이가 시려서 뜨거운 음식을 먹을 수 없어요.,5
잇몸이 붓고 염증이 생겨서 아파요.,6
이가 계속해서 쿡쿡 쑤셔요.,6
잇몸이 붓고 피가 나요.,6
입안이 헐어서 음식을 먹기 힘들어요.,6
잇몸이 부어서 단단한 것을 먹기 힘들어요.,6
잇몸이 붓고 욱신거려요.,6
치아가 쿡쿡 쑤셔서 아파요.,6
입안이 헐어서 아파요.,6
잇몸이 붓고 헐어있어요.,6
치아가 시리고 저려요.,6
잇몸이 붓고 따끔거려서 아파요.,6
이가 민감해져서 음식을 먹기 어려워요.,6
잇몸이 붓고 아파서 음식을 먹기 어려워요.,6
치아가 욱신거려서 불편해요.,6
잇몸이 붓고 저려서 아파요.,6
잇몸이 붓고 열이 나요.,6
이가 계속 욱신거려서 신경이 쓰여요.,6
잇몸이 너무 아파서 참을 수 없어요.,6
치아가 아파서 음식을 먹기 어려워요.,6
입안이 전혀 아프지 않아요.,0
잇몸 통증이 전혀 없어요.,0
입안이 전혀 불편하지 않아요.,0
치아가 전혀 아프지 않아요.,0
입안에 아무런 통증이 없어요.,0
잇몸이 전혀 아프지 않아요.,0
이가 전혀 시리지 않아요.,0
잇몸이 전혀 붓지 않았어요.,0
치아에 아무런 통증이 없어요.,0
입안이 편안하고 통증이 없어요.,0
아주 가벼운 통증이 느껴지지만 거의 신경 쓰이지 않아요.,1
잇몸이 조금 아프지만 괜찮아요.,1
잇몸이 조금 따끔거리지만 참을 만해요.,1
치아가 약간 신경 쓰이지만 통증은 거의 없어요.,1
잇몸이 약간 따끔거리지만 신경 쓰이지 않아요.,1
입안이 조금 불편하지만 통증은 거의 없어요.,1
잇몸이 약간 붓지만 통증은 거의 없어요.,1
치아가 조금 불편하지만 괜찮아요.,1
이가 조금 신경 쓰이지만 통증은 거의 없어요.,1
입안이 약간 건조하지만 통증은 없어요.,1
"이가 살짝 시려요, 통증이 거의 없어요.",2
잇몸이 조금 아프지만 괜찮아요.,2
잇몸이 붓고 피가 나요.,2
치아가 약간 시리지만 통증은 거의 없어요.,2
"잇몸이 약간 신경 쓰여요, 통증이 매우 경미해요.",2
이가 약간 불편하지만 통증은 거의 없어요.,2
입안이 조금 따끔거리지만 참을 만해요.,2
치아가 약간 불편하지만 통증은 거의 없어요.,2
잇몸이 붓고 살짝 따끔거려요.,2
이가 약간 저리지만 통증은 거의 없어요.,2
입안이 너무 건조해서 아파요.,3
이가 저릿저릿해서 신경 쓰여요.,3
잇몸이 붓고 이가 쑤셔요.,3
이가 약간 시린 느낌이 들어요.,3
차가운 공기만 맞아도 이가 시려요.,3
잇몸이 붓고 따끔거려요.,3
입안이 쓰리고 따끔거려요.,3
잇몸이 붓고 이가 저릿저릿해요.,3
입안이 건조해서 약간 아파요.,3
치아가 조금 시려요.,3
입안이 따끔거리고 아파요.,4
잇몸이 붓고 만지기만 해도 아파요.,4
아침에 잇몸이 부어서 아파요.,4
입 안이 쓰리고 아파요.,4
입 안이 쓰리고 쓰라려요.,4
이가 계속해서 욱신거려요.,4
입 안이 헐어서 음식을 먹기 힘들어요.,4
양치할 때 잇몸이 아파요.,4
잇몸이 화끈거리면서 아파요.,4
입안이 건조해서 불편해요.,4
이가 시려서 단 것을 먹을 수 없어요.,5
이가 갑자기 찌릿하게 아파요.,5
뜨거운 음료를 마실 때마다 이가 아파요.,5
입술이 부어서 아파요.,5
이가 찌릿해서 차가운 것을 먹기 힘들어요.,5
잇몸이 화끈거리면서 아파요.,5
잇몸이 붓고 열이 나요.,5
이가 시려서 뜨거운 음식을 피하게 돼요.,5
이가 시려서 숨 쉴 때도 불편해요.,5
이가 시려서 차가운 것을 먹기 힘들어요.,5
잇몸이 욱신거리면서 아파요.,6
잇몸이 부어서 씹을 때마다 아파요.,6
잇몸이 부어올라 만지기만 해도 아파요.,6
음식을 씹을 때 이가 아파요.,6
잇몸이 붓고 염증이 생겨서 아파요.,6
이가 계속해서 쿡쿡 쑤셔요.,6
잇몸이 붓고 열이 나서 아파요.,6
잇몸이 붓고 피가 나요.,6
입안이 헐어서 음식을 먹기 힘들어요.,6
잇몸이 부어서 단단한 것을 먹기 힘들어요.,6
이가 계속 쿡쿡 찔리는 것처럼 아파요.,7
이가 조금만 닿아도 아파요.,7
이가 쑤셔서 집중이 안 돼요.,7
잇몸이 찢어질 것처럼 아파요.,7
잇몸이 너무 아파서 양치질이 힘들어요.,7
잇몸이 붓고 통증이 심해요.,7
이가 계속 아파서 집중이 안 돼요.,7
잇몸이 아파서 음식을 씹을 수 없어요.,7
이가 쿡쿡 쑤셔서 일을 할 수가 없어요.,7
이가 아파서 잠을 잘 수 없어요.,7
이가 쿡쿡 쑤셔서 잠을 잘 수 없어요.,8
이가 아파서 아무것도 할 수 없어요.,8
치아가 너무 아파서 견딜 수 없어요.,8
이가 너무 아파서 집중할 수 없어요.,8
잇몸이 너무 아파서 양치질을 할 수 없어요.,8
이가 너무 아파서 잠을 잘 수 없어요.,8
치아가 너무 아파서 일을 할 수 없어요.,8
이가 너무 아파서 일상생활이 어려워요.,8
이가 너무 아파서 공부를 할 수 없어요.,8
치아가 너무 아파서 잠을 못 자겠어요.,8
"치아가 매우 아프고, 그 통증이 계속 지속돼요.",9
이가 너무 아파서 잠도 잘 수 없어요.,9
이가 너무 아파서 견딜 수가 없어요.,9
치아 통증이 너무 심해서 일상생활이 어려워요.,9
치아 통증이 너무 심해서 잠을 잘 수 없어요.,9
이가 너무 아파서 아무것도 할 수 없어요.,9
이가 너무 아파서 일을 할 수 없어요.,9
치아가 너무 아파서 견딜 수 없어요.,9
치아 통증이 너무 심해서 견딜 수 없어요.,9
치아 통증이 너무 심해서 잠을 잘 수 없어요.,9
치아 통증이 너무 심해서 아무것도 할 수 없어요.,10
치아 통증이 너무 심해서 견딜 수가 없어요.,10
이가 너무 아파서 견딜 수 없어요.,10
치아 통증이 너무 심해서 일상생활이 불가능해요.,10
이가 너무 아파서 잠을 잘 수 없어요.,10
이가 너무 아파서 일할 수 없어요.,10
치아 통증이 너무 심해서 견딜 수 없어요.,10
치아가 너무 아파서 아무것도 할 수 없어요.,10
치아 통증이 너무 심해서 집중할 수 없어요.,10
치아 통증이 너무 심해서 밤에 잠을 잘 수 없어요.,10
잇몸이 전혀 아프지 않아요.,0
입안이 전혀 불편하지 않아요.,0
치아에 아무런 통증이 없어요.,0
음식을 씹을 때 전혀 아프지 않아요.,0
양치할 때 전혀 아프지 않아요.,0
잇몸이 건강하고 붓지 않았어요.,0
치아가 전혀 시리지 않아요.,0
입안이 편안하고 통증이 없어요.,0
잇몸이 건강해서 아무런 불편함이 없어요.,0
치아가 강하고 통증이 전혀 없어요.,0
잇몸이 깨끗하고 통증이 없어요.,0
음식을 먹을 때 불편함이 전혀 없어요.,0
양치할 때 잇몸이 전혀 아프지 않아요.,0
입안이 깨끗하고 건강해요.,0
잇몸이 튼튼하고 전혀 아프지 않아요.,0
아주 가벼운 통증이 느껴지지만 신경 쓰이지 않아요.,1
잇몸이 약간 따끔거리지만 괜찮아요.,1
치아가 살짝 시리지만 통증은 거의 없어요.,1
입안이 살짝 건조하지만 통증은 없어요.,1
잇몸이 약간 붓지만 통증은 없어요.,1
치아가 약간 신경 쓰이지만 참을 만해요.,1
입안이 조금 불편하지만 통증은 거의 없어요.,1
잇몸이 살짝 따끔거리지만 통증은 거의 없어요.,1
치아가 약간 불편하지만 통증은 없어요.,1
입안이 살짝 건조하지만 신경 쓰이지 않아요.,1
잇몸이 살짝 붓지만 불편하지 않아요.,1
치아가 약간 민감하지만 통증은 없어요.,1
입안이 살짝 따끔거리지만 통증은 거의 없어요.,1
잇몸이 살짝 붓고 따끔거려요.,1
치아가 살짝 시리지만 괜찮아요.,1
입안이 살짝 아프지만 크게 신경 쓰이지 않아요.,2
치아가 약간 시리지만 참을 만해요.,2
잇몸이 붓고 피가 나지만 통증은 경미해요.,2
입안이 살짝 불편하지만 통증은 경미해요.,2
잇몸이 살짝 따끔거리고 피가 나요.,2
치아가 약간 신경 쓰이지만 통증은 거의 없어요.,2
잇몸이 살짝 붓고 따끔거려요.,2
입안이 조금 불편하지만 통증은 거의 없어요.,2
잇몸이 살짝 붓고 따끔거려요.,2
치아가 약간 시리고 신경 쓰여요.,2
입안이 살짝 따끔거리고 아파요.,2
잇몸이 붓고 피가 나요.,2
치아가 약간 시리고 불편해요.,2
입안이 살짝 불편하지만 견딜 수 있어요.,2
잇몸이 붓고 따끔거리지만 통증은 경미해요.,2
입안이 조금 건조해서 불편해요.,3
이가 저릿저릿해서 신경이 쓰여요.,3
잇몸이 붓고 이가 쑤셔요.,3
이가 약간 시린 느낌이 들어요.,3
차가운 공기만 맞아도 이가 시려요.,3
잇몸이 붓고 따끔거려요.,3
입안이 쓰리고 따끔거려요.,3
잇몸이 붓고 이가 저릿저릿해요.,3
입안이 건조해서 약간 아파요.,3
치아가 조금 시려요.,3
잇몸이 붓고 열이 나요.,3
양치할 때 잇몸이 아파요.,3
입안이 건조하고 따끔거려요.,3
입술이 마르고 따끔거려요.,3
치아가 시리지만 크게 아프지 않아요.,3
잇몸이 붓고 약간 저려요.,3
입안이 따끔거리고 살짝 아파요.,3
이가 약간 시리고 저려요.,3
입안이 약간 쓰리고 불편해요.,3
잇몸이 붓고 신경이 쓰여요.,3
치아가 민감해져서 신경 쓰여요.,3
잇몸이 붓고 따끔거려서 신경이 쓰여요.,3
입안이 건조하고 따끔거리며 불편해요.,3
치아가 약간 시리고 신경이 쓰여요.,3
잇몸이 붓고 따끔거려서 불편해요.,3
입안이 조금 헐어서 신경이 쓰여요.,3
잇몸이 붓고 약간 불편해요.,3
치아가 민감해져서 신경이 쓰여요.,3
입안이 건조하고 헐어서 불편해요.,3
잇몸이 붓고 민감해져서 불편해요.,3
치아가 약간 저리지만 크게 아프지 않아요.,3
입안이 헐어서 약간 불편해요.,3
잇몸이 붓고 따끔거리며 신경이 쓰여요.,3
치아가 약간 민감해져서 불편해요.,3
입안이 약간 따끔거리지만 참을 수 있어요.,3
치아가 민감해져서 불편해요.,3
잇몸이 붓고 따끔거려서 신경이 쓰여요.,3
입안이 헐어서 신경이 쓰여요.,3
잇몸이 붓고 저려서 불편해요.,3
치아가 약간 민감해져서 신경이 쓰여요.,3
잇몸이 붓고 따끔거려서 불편해요.,3
치아가 시려서 신경이 쓰여요.,3
입안이 헐어서 조금 불편해요.,3
잇몸이 붓고 신경이 쓰여요.,3
입안이 따끔거리고 아파요.,4
잇몸이 붓고 만지기만 해도 아파요.,4
아침에 잇몸이 부어서 아파요.,4
입 안이 쓰리고 아파요.,4
입 안이 쓰리고 쓰라려요.,4
이가 계속해서 욱신거려요.,4
입 안이 헐어서 음식을 먹기 힘들어요.,4
양치할 때 잇몸이 아파요.,4
잇몸이 화끈거리면서 아파요.,4
음식을 씹을 때 이가 아파요.,4
치아가 욱신거리면서 아파요.,4
잇몸이 부어오르고 아파요.,4
입안이 따끔거려서 불편해요.,4
잇몸이 붓고 쑤셔요.,4
이가 쿡쿡 쑤셔서 불편해요.,4
치아가 저릿저릿하면서 아파요.,4
잇몸이 붓고 음식을 씹기 어려워요.,4
입안이 쓰리고 헐어있어요.,4
치아가 시리고 아파요.,4
잇몸이 부어올라 아파요.,4
입안이 쓰리고 따끔거려서 불편해요.,4
치아가 민감해져서 아파요.,4
잇몸이 붓고 따끔거려서 아파요.,4
입안이 헐어서 아파요.,4
치아가 시리고 욱신거려요.,4
잇몸이 붓고 저려서 아파요.,4
치아가 민감해져서 불편해요.,4
입안이 따끔거리고 아파서 음식을 먹기 어려워요.,4
치아가 시리고 저려서 아파요.,4
잇몸이 붓고 신경이 쓰여요.,4
입안이 헐어서 아파요.,4
치아가 시리고 아파서 음식을 먹기 힘들어요.,4
잇몸이 붓고 아파서 음식을 씹기 어려워요.,4
입안이 따끔거리고 아파서 음식을 먹기 힘들어요.,4
치아가 민감해져서 신경이 쓰여요.,4
잇몸이 붓고 저려서 불편해요.,4
입안이 헐어서 신경이 쓰여요.,4
치아가 시리고 욱신거려요.,4
잇몸이 붓고 따끔거리며 아파요.,4
입안이 따끔거려서 불편해요.,4
이가 시려서 단 것을 먹을 수 없어요.,5
이가 갑자기 찌릿하게 아파요.,5
뜨거운 음료를 마실 때마다 이가 아파요.,5
입술이 부어서 아파요.,5
이가 찌릿해서 차가운 것을 먹기 힘들어요.,5
잇몸이 화끈거리면서 아파요.,5
잇몸이 붓고 열이 나요.,5
이가 시려서 뜨거운 음식을 피하게 돼요.,5
이가 시려서 숨 쉴 때도 불편해요.,5
이가 시려서 차가운 것을 먹기 힘들어요.,5
치아가 시려서 음식을 먹기 힘들어요.,5
입안이 따끔거려서 음식 먹기가 불편해요.,5
잇몸이 붓고 저릿저릿해요.,5
치아가 시리고 불편해요.,5
이가 민감해져서 불편해요.,5
입안이 헐어서 음식을 먹기 힘들어요.,5
이가 시려서 차가운 음료를 피하게 돼요.,5
치아가 시려서 단 음식을 먹기 어려워요.,5
이가 시려서 숨쉬기가 불편해요.,5
잇몸이 붓고 따끔거려요.,5
치아가 시려서 단 음식을 먹기 어려워요.,5
잇몸이 붓고 따끔거리며 불편해요.,5
입안이 헐어서 신경이 쓰여요.,5
치아가 시리고 아파요.,5
잇몸이 붓고 따끔거리며 신경이 쓰여요.,5
입안이 따끔거리고 불편해요.,5
치아가 시리고 저려요.,5
잇몸이 붓고 열이 나요.,5
입안이 따끔거려서 불편해요.,5
치아가 시리고 민감해요.,5
잇몸이 욱신거리면서 아파요.,6
잇몸이 부어서 씹을 때마다 아파요.,6
잇몸이 부어올라 만지기만 해도 아파요.,6
음식을 씹을 때 이가 아파요.,6
잇몸이 붓고 염증이 생겨서 아파요.,6
이가 계속해서 쿡쿡 쑤셔요.,6
잇몸이 붓고 열이 나서 아파요.,6
잇몸이 붓고 피가 나요.,6
입안이 헐어서 음식을 먹기 힘들어요.,6
잇몸이 부어서 단단한 것을 먹기 힘들어요.,6
잇몸이 붓고 욱신거려요.,6
치아가 쿡쿡 쑤셔서 아파요.,6
입안이 헐어서 아파요.,6
잇몸이 붓고 헐어있어요.,6
치아가 시리고 저려요.,6
잇몸이 붓고 따끔거려서 아파요.,6
이가 민감해져서 음식을 먹기 어려워요.,6
잇몸이 붓고 아파서 음식을 먹기 어려워요.,6
치아가 욱신거려서 불편해요.,6
잇몸이 붓고 저려서 아파요.,6
입안이 따끔거려서 음식을 먹기 힘들어요.,6
치아가 시리고 아파서 음식을 먹기 힘들어요.,6
잇몸이 붓고 염증이 생겨서 아파요.,6
입안이 헐어서 음식을 먹기 어려워요.,6
치아가 시리고 저려서 음식을 먹기 어려워요.,6
잇몸이 붓고 아파서 음식을 먹기 힘들어요.,6
입안이 따끔거려서 음식을 먹기 어려워요.,6
치아가 시리고 아파서 음식을 먹기 힘들어요.,6
잇몸이 붓고 염증이 생겨서 불편해요.,6
입안이 헐어서 불편해요.,6
치아가 시리고 저려서 음식을 먹기 힘들어요.,6
잇몸이 붓고 아파서 음식을 먹기 어려워요.,6
입안이 따끔거려서 음식을 먹기 힘들어요.,6
치아가 시리고 아파서 음식을 먹기 어려워요.,6
잇몸이 붓고 염증이 생겨서 아파요.,6
입안이 헐어서 음식을 먹기 어려워요.,6
치아가 시리고 저려서 음식을 먹기 힘들어요.,6
잇몸이 붓고 아파서 음식을 먹기 힘들어요.,6
입안이 따끔거려서 음식을 먹기 힘들어요.,6
치아가 시리고 아파서 음식을 먹기 어려워요.,6
이가 계속 쿡쿡 찔리는 것처럼 아파요.,7
이가 조금만 닿아도 아파요.,7
이가 쑤셔서 집중이 안 돼요.,7
잇몸이 찢어질 것처럼 아파요.,7
잇몸이 너무 아파서 양치질이 힘들어요.,7
잇몸이 붓고 통증이 심해요.,7
이가 계속 아파서 집중이 안 돼요.,7
잇몸이 아파서 음식을 씹을 수 없어요.,7
이가 쿡쿡 쑤셔서 일을 할 수가 없어요.,7
이가 아파서 잠을 잘 수 없어요.,7
치아가 너무 아파서 일을 할 수 없어요.,7
잇몸이 너무 아파서 음식을 씹을 수 없어요.,7
이가 계속 욱신거려서 아파요.,7
잇몸이 붓고 저려서 음식을 먹기 힘들어요.,7
치아가 너무 아파서 불편해요.,7
잇몸이 붓고 열이 나서 음식을 먹기 힘들어요.,7
입안이 너무 아파서 음식을 먹을 수 없어요.,7
이가 너무 아파서 음식을 먹기 힘들어요.,7
잇몸이 너무 아파서 음식을 먹기 힘들어요.,7
치아가 너무 아파서 음식을 씹기 힘들어요.,7
잇몸이 너무 아파서 음식을 씹기 어려워요.,7
치아가 시려서 음식을 씹을 수 없어요.,7
입안이 너무 아파서 음식을 먹기 어려워요.,7
이가 너무 아파서 일상생활이 어려워요.,7
잇몸이 너무 아파서 음식을 삼킬 수 없어요.,7
치아가 너무 아파서 불편해요.,7
이가 너무 아파서 집중할 수 없어요.,7
잇몸이 너무 아파서 잠을 잘 수 없어요.,7
치아가 너무 아파서 견딜 수 없어요.,7
입안이 너무 아파서 일상생활이 어려워요.,7
이가 쿡쿡 쑤셔서 잠을 잘 수 없어요.,8
이가 아파서 아무것도 할 수 없어요.,8
치아가 너무 아파서 견딜 수 없어요.,8
이가 너무 아파서 집중할 수 없어요.,8
잇몸이 너무 아파서 양치질을 할 수 없어요.,8
이가 너무 아파서 잠을 잘 수 없어요.,8
치아가 너무 아파서 일을 할 수 없어요.,8
이가 너무 아파서 일상생활이 어려워요.,8
이가 너무 아파서 공부를 할 수 없어요.,8
치아가 너무 아파서 잠을 못 자겠어요.,8
이가 너무 아파서 음식을 삼킬 수 없어요.,8
치아가 너무 아파서 고통스러워요.,8
이가 너무 아파서 잠도 잘 수 없어요.,8
잇몸이 너무 아파서 음식을 먹을 수 없어요.,8
치아가 너무 아파서 일을 할 수 없어요.,8
이가 너무 아파서 견딜 수 없어요.,8
치아 통증이 너무 심해서 잠을 잘 수 없어요.,8
이가 너무 아파서 아무것도 할 수 없어요.,8
잇몸이 너무 아파서 음식을 씹을 수 없어요.,8
치아가 너무 아파서 아무것도 할 수 없어요.,8
"치아가 매우 아프고, 그 통증이 계속 지속돼요.",9
이가 너무 아파서 잠도 잘 수 없어요.,9
이가 너무 아파서 견딜 수가 없어요.,9
치아 통증이 너무 심해서 일상생활이 어려워요.,9
치아 통증이 너무 심해서 잠을 잘 수 없어요.,9
이가 너무 아파서 아무것도 할 수 없어요.,9
이가 너무 아파서 일을 할 수 없어요.,9
치아가 너무 아파서 견딜 수 없어요.,9
치아 통증이 너무 심해서 견딜 수 없어요.,9
치아 통증이 너무 심해서 잠을 잘 수 없어요.,9
이가 너무 아파서 잠을 잘 수 없어요.,9
잇몸이 너무 아파서 참을 수 없어요.,9
치아 통증이 너무 심해서 아무것도 할 수 없어요.,9
치아가 너무 아파서 견딜 수 없어요.,9
치아 통증이 너무 심해서 아무것도 할 수 없어요.,10
치아 통증이 너무 심해서 견딜 수가 없어요.,10
이가 너무 아파서 견딜 수 없어요.,10
치아 통증이 너무 심해서 일상생활이 불가능해요.,10
이가 너무 아파서 잠을 잘 수 없어요.,10
